Name,Hex (24 bit),Red (8 bit),Green (8 bit),Blue (8 bit),Hue (degrees),HSL.S (%),"HSL.L (%), HSV.S (%), HSV.V (%)",Color Group
Chrome Yellow,#ffa700,255,167,0,39.3,100.0,50.0,Merah Sedang
Cinereous,#98817b,152,129,123,12.4,12.3,53.9,Oranye Sedang
Cinnabar,#e34234,227,66,52,4.8,75.8,54.7,Merah Sedang
Cinnamon,#d2691e,210,105,30,25.0,75.0,47.1,Merah Sedang
Citrine,#e4d00a,228,208,10,54.5,91.6,46.7,Oranye Sedang
Classic Rose,#fbcce7,251,204,231,325.5,85.5,89.2,Magenta Terang
Cobalt,#0047ab,0,71,171,215.1,100.0,33.5,Biru Sedang
Cocoa Brown,#d2691e,210,105,30,25.0,75.0,47.1,Merah Sedang
Coffee,#6f4e37,111,78,55,24.6,33.7,32.5,Oranye Sedang
Columbia Blue,#9bddff,155,221,255,200.4,100.0,80.4,Cyan Terang
Congo Pink,#f88379,248,131,121,4.7,90.1,72.4,Merah Muda
Cool Black,#002e63,0,46,99,212.1,100.0,19.4,Biru Gelap
Cool Grey,#8c92ac,140,146,172,228.8,16.2,61.2,Cyan Muda
Copper,#b87333,184,115,51,28.9,56.6,46.1,Oranye Sedang
Copper (Crayola),#da8a67,218,138,103,18.3,60.8,62.9,Merah Muda
Copper Penny,#ad6f69,173,111,105,5.3,29.3,54.5,Oranye Sedang
Copper Red,#cb6d51,203,109,81,13.8,54.0,55.7,Merah Sedang
Copper Rose,#966,153,102,102,0.0,20.0,50.0,Merah Sedang
Coquelicot,#ff3800,255,56,0,13.2,100.0,50.0,Merah Sedang
Coral,#ff7f50,255,127,80,16.1,100.0,65.7,Merah Muda
Coral Pink,#f88379,248,131,121,4.7,90.1,72.4,Merah Muda
Coral Red,#ff4040,255,64,64,0.0,100.0,62.5,Merah Sedang
Cordovan,#893f45,137,63,69,355.1,37.0,39.2,Merah Sedang
Corn,#fbec5d,251,236,93,54.3,95.2,67.5,Oranye Muda
Cornell Red,#b31b1b,179,27,27,0.0,73.8,40.4,Merah Gelap
Cornflower Blue,#6495ed,100,149,237,218.5,79.2,66.1,Cyan Muda
Cornsilk,#fff8dc,255,248,220,48.0,100.0,93.1,Oranye Terang
Cosmic Latte,#fff8e7,255,248,231,42.5,100.0,95.3,Putih
Cotton Candy,#ffbcd9,255,188,217,334.0,100.0,86.9,Magenta Terang
Cream,#fffdd0,255,253,208,57.4,100.0,90.8,Oranye Terang
Crimson,#dc143c,220,20,60,348.0,83.3,47.1,Merah Sedang
Crimson Glory,#be0032,190,0,50,344.2,100.0,37.3,Merah Sedang
Cyan,#0ff,0,255,255,180.0,100.0,50.0,Cyan Muda
Cyan (Process),#00b7eb,0,183,235,193.3,100.0,46.1,Cyan Sedang
Daffodil,#ffff31,255,255,49,60.0,100.0,59.6,Oranye Muda
Dandelion,#f0e130,240,225,48,55.3,86.5,56.5,Oranye Muda
Dark Blue,#00008b,0,0,139,240.0,100.0,27.3,Biru Gelap
Dark Brown,#654321,101,67,33,30.0,50.7,26.3,Oranye Gelap
Dark Byzantium,#5d3954,93,57,84,315.0,24.0,29.4,Merah Gelap
Dark Candy Apple Red,#a40000,164,0,0,0.0,100.0,32.2,Merah Gelap
Dark Cerulean,#08457e,8,69,126,209.0,88.1,26.3,Biru Gelap
Dark Chestnut,#986960,152,105,96,9.6,22.6,48.6,Oranye Sedang
Dark Coral,#cd5b45,205,91,69,9.7,57.6,53.7,Merah Sedang
Dark Cyan,#008b8b,0,139,139,180.0,100.0,27.3,Cyan Sedang
Dark Electric Blue,#536878,83,104,120,205.9,18.2,39.8,Cyan Sedang
Dark Goldenrod,#b8860b,184,134,11,42.7,88.7,38.2,Oranye Sedang
Dark Gray,#a9a9a9,169,169,169,0.0,0.0,66.3,Abu-Abu
Dark Green,#013220,1,50,32,158.0,96.1,10.0,Hitam
Dark Imperial Blue,#00416a,0,65,106,203.2,100.0,20.8,Biru Gelap
Dark Jungle Green,#1a2421,26,36,33,162.0,16.1,12.2,Hitam
Dark Khaki,#bdb76b,189,183,107,55.6,38.3,58.0,Oranye Muda
Dark Lava,#483c32,72,60,50,27.3,18.0,23.9,Oranye Gelap
Dark Lavender,#734f96,115,79,150,270.4,31.0,44.9,Ungu Sedang
Dark Magenta,#8b008b,139,0,139,300.0,100.0,27.3,Magenta Sedang
Dark Midnight Blue,#036,0,51,102,210.0,100.0,20.0,Biru Gelap
Dark Olive Green,#556b2f,85,107,47,82.0,39.0,30.2,Kuning Gelap
Dark Orange,#ff8c00,255,140,0,32.9,100.0,50.0,Merah Sedang
Dark Orchid,#9932cc,153,50,204,280.1,60.6,49.8,Ungu Sedang
Dark Pastel Blue,#779ecb,119,158,203,212.1,44.7,63.1,Cyan Muda
Dark Pastel Green,#03c03c,3,192,60,138.1,96.9,38.2,Hijau Sedang
Dark Pastel Purple,#966fd6,150,111,214,262.7,55.7,63.7,Ungu Muda
Dark Pastel Red,#c23b22,194,59,34,9.4,70.2,44.7,Merah Sedang
Dark Pink,#e75480,231,84,128,342.0,75.4,61.8,Magenta Sedang
Dark Powder Blue,#039,0,51,153,220.0,100.0,30.0,Biru Gelap
Dark Raspberry,#872657,135,38,87,329.7,56.1,33.9,Merah Sedang
Dark Red,#8b0000,139,0,0,0.0,100.0,27.3,Merah Gelap
Dark Salmon,#e9967a,233,150,122,15.1,71.6,69.6,Merah Muda
Dark Scarlet,#560319,86,3,25,344.1,93.3,17.5,Hitam
Dark Sea Green,#8fbc8f,143,188,143,120.0,25.1,64.9,Hijau Muda
Dark Sienna,#3c1414,60,20,20,0.0,50.0,15.7,Hitam
Dark Slate Blue,#483d8b,72,61,139,248.5,39.0,39.2,Biru Sedang
Dark Slate Gray,#2f4f4f,47,79,79,180.0,25.4,24.7,Hijau Gelap
Dark Spring Green,#177245,23,114,69,150.3,66.4,26.9,Hijau Gelap
Dark Tan,#918151,145,129,81,45.0,28.3,44.3,Oranye Sedang
Dark Tangerine,#ffa812,255,168,18,38.0,100.0,53.5,Merah Sedang
Dark Taupe,#483c32,72,60,50,27.3,18.0,23.9,Oranye Gelap
