Name,Hex (24 bit),Red (8 bit),Green (8 bit),Blue (8 bit),Hue (degrees),HSL.S (%),"HSL.L (%), HSV.S (%), HSV.V (%)",Color Group
School Bus Yellow,#ffd800,255,216,0,50.8,100.0,50.0,Oranye Muda
Screamin' Green,#76ff7a,118,255,122,121.8,100.0,73.1,Cyan Muda
Sea Blue,#006994,0,105,148,197.4,100.0,29.0,Cyan Sedang
Sea Green,#2e8b57,46,139,87,146.5,50.3,36.3,Cyan Sedang
Seal Brown,#321414,50,20,20,0.0,42.9,13.7,Hitam
Seashell,#fff5ee,255,245,238,24.7,100.0,96.7,Putih
Selective Yellow,#ffba00,255,186,0,43.8,100.0,50.0,Oranye Sedang
Sepia,#704214,112,66,20,30.0,69.7,25.9,Oranye Gelap
Shadow,#8a795d,138,121,93,37.3,19.5,45.3,Oranye Sedang
Shamrock Green,#009e60,0,158,96,156.5,100.0,31.0,Cyan Sedang
Shocking Pink,#fc0fc0,252,15,192,315.2,97.5,52.4,Magenta Muda
Shocking Pink (Crayola),#ff6fff,255,111,255,300.0,100.0,71.8,Magenta Terang
Sienna,#882d17,136,45,23,11.7,71.1,31.2,Merah Gelap
Silver,#c0c0c0,192,192,192,0.0,0.0,75.3,Abu-Abu
Sinopia,#cb410b,203,65,11,16.9,89.7,42.0,Merah Sedang
Skobeloff,#007474,0,116,116,180.0,100.0,22.7,Cyan Gelap
Sky Blue,#87ceeb,135,206,235,197.4,71.4,72.5,Cyan Muda
Sky Magenta,#cf71af,207,113,175,320.4,49.5,62.7,Magenta Muda
Slate Blue,#6a5acd,106,90,205,248.3,53.5,57.8,Ungu Sedang
Slate Gray,#708090,112,128,144,210.0,12.6,50.2,Cyan Sedang
Smalt (Dark Powder Blue),#039,0,51,153,220.0,100.0,30.0,Biru Gelap
Smokey Topaz,#933d41,147,61,65,357.2,41.3,40.8,Merah Sedang
Smoky Black,#100c08,16,12,8,30.0,33.3,4.7,Hitam
Snow,#fffafa,255,250,250,0.0,100.0,99.0,Putih
Spiro Disco Ball,#0fc0fc,15,192,252,195.2,97.5,52.4,Cyan Muda
Spring Bud,#a7fc00,167,252,0,80.2,100.0,49.4,Hijau Sedang
Spring Green,#00ff7f,0,255,127,149.9,100.0,50.0,Cyan Sedang
St. Patrick'S Blue,#23297a,35,41,122,235.9,55.4,30.8,Biru Gelap
Steel Blue,#4682b4,70,130,180,207.3,44.0,49.0,Cyan Sedang
Stil De Grain Yellow,#fada5e,250,218,94,47.7,94.0,67.5,Oranye Muda
Stizza,#900,153,0,0,0.0,100.0,30.0,Merah Gelap
Stormcloud,#4f666a,79,102,106,188.9,14.6,36.3,Cyan Sedang
Straw,#e4d96f,228,217,111,54.4,68.4,66.5,Oranye Muda
Sunglow,#fc3,255,204,51,45.0,100.0,60.0,Oranye Muda
Sunset,#fad6a5,250,214,165,34.6,89.5,81.4,Oranye Terang
Tan,#d2b48c,210,180,140,34.3,43.7,68.6,Oranye Muda
Tangelo,#f94d00,249,77,0,18.6,100.0,48.8,Merah Sedang
Tangerine,#f28500,242,133,0,33.0,100.0,47.5,Merah Sedang
Tangerine Yellow,#fc0,255,204,0,48.0,100.0,50.0,Oranye Muda
Tango Pink,#e4717a,228,113,122,355.3,68.0,66.9,Magenta Muda
Taupe,#483c32,72,60,50,27.3,18.0,23.9,Oranye Gelap
Taupe Gray,#8b8589,139,133,137,320.0,2.5,53.3,Abu-Abu
Tea Green,#d0f0c0,208,240,192,100.0,61.5,84.7,Kuning Terang
Tea Rose (Orange),#f88379,248,131,121,4.7,90.1,72.4,Merah Muda
Tea Rose (Rose),#f4c2c2,244,194,194,0.0,69.4,85.9,Merah Terang
Teal,#008080,0,128,128,180.0,100.0,25.1,Cyan Sedang
Teal Blue,#367588,54,117,136,193.9,43.2,37.3,Cyan Sedang
Teal Green,#00827f,0,130,127,178.6,100.0,25.5,Cyan Sedang
Telemagenta,#cf3476,207,52,118,334.5,61.8,50.8,Magenta Sedang
Tenné (Tawny),#cd5700,205,87,0,25.5,100.0,40.2,Merah Sedang
Terra Cotta,#e2725b,226,114,91,10.2,69.9,62.2,Merah Sedang
Thistle,#d8bfd8,216,191,216,300.0,24.3,79.8,Magenta Terang
Thulian Pink,#de6fa1,222,111,161,333.0,62.7,65.3,Magenta Muda
Tickle Me Pink,#fc89ac,252,137,172,341.7,95.0,76.3,Magenta Muda
Tiffany Blue,#0abab5,10,186,181,178.3,89.8,38.4,Cyan Sedang
Tiger'S Eye,#e08d3c,224,141,60,29.6,72.6,55.7,Merah Sedang
Timberwolf,#dbd7d2,219,215,210,33.3,11.1,84.1,Abu-Abu
Titanium Yellow,#eee600,238,230,0,58.0,100.0,46.7,Oranye Muda
Tomato,#ff6347,255,99,71,9.1,100.0,63.9,Merah Sedang
Toolbox,#746cc0,116,108,192,245.7,40.0,58.8,Ungu Sedang
Topaz,#ffc87c,255,200,124,34.8,100.0,74.3,Oranye Muda
Tractor Red,#fd0e35,253,14,53,350.2,98.4,52.4,Merah Sedang
Trolley Grey,#808080,128,128,128,0.0,0.0,50.2,Abu-Abu
Tropical Rain Forest,#00755e,0,117,94,168.2,100.0,22.9,Cyan Gelap
True Blue,#0073cf,0,115,207,206.7,100.0,40.6,Cyan Sedang
Tufts Blue,#417dc1,65,125,193,211.9,50.8,50.6,Cyan Sedang
Tumbleweed,#deaa88,222,170,136,23.7,56.6,70.2,Oranye Muda
Turkish Rose,#b57281,181,114,129,346.6,31.2,57.8,Magenta Sedang
Turquoise,#30d5c8,48,213,200,175.3,66.3,51.2,Cyan Muda
Turquoise Blue,#00ffef,0,255,239,176.2,100.0,50.0,Cyan Muda
Turquoise Green,#a0d6b4,160,214,180,142.2,39.7,73.3,Cyan Muda
Tuscan Red,#7c4848,124,72,72,0.0,26.5,38.4,Merah Sedang
Twilight Lavender,#8a496b,138,73,107,328.6,30.8,41.4,Magenta Sedang
Tyrian Purple,#66023c,102,2,60,325.2,96.2,20.4,Merah Gelap
Ua Blue,#03a,0,51,170,222.0,100.0,33.3,Biru Gelap
Ua Red,#d9004c,217,0,76,339.0,100.0,42.5,Merah Sedang
Ube,#8878c3,136,120,195,252.8,38.5,61.8,Ungu Muda
Ucla Blue,#536895,83,104,149,220.9,28.4,45.5,Cyan Sedang
Ucla Gold,#ffb300,255,179,0,42.1,100.0,50.0,Merah Sedang
Ufo Green,#3cd070,60,208,112,141.1,61.2,52.5,Cyan Sedang
Ultra Pink,#ff6fff,255,111,255,300.0,100.0,71.8,Magenta Terang
Ultramarine,#120a8f,18,10,143,243.6,86.9,30.0,Biru Gelap
Ultramarine Blue,#4166f5,65,102,245,227.7,90.0,60.8,Cyan Sedang
Umber,#635147,99,81,71,21.4,16.5,33.3,Oranye Sedang
Unbleached Silk,#ffddca,255,221,202,21.5,100.0,89.6,Oranye Terang
United Nations Blue,#5b92e5,91,146,229,216.1,72.6,62.7,Cyan Muda
University Of California Gold,#b78727,183,135,39,40.0,64.9,43.5,Oranye Sedang
Unmellow Yellow,#ff6,255,255,102,60.0,100.0,70.0,Oranye Terang
Up Forest Green,#014421,1,68,33,148.7,97.1,13.5,Hitam
Up Maroon,#7b1113,123,17,19,358.9,75.7,27.5,Merah Gelap
Upsdell Red,#ae2029,174,32,41,356.2,68.9,40.4,Merah Sedang
Urobilin,#e1ad21,225,173,33,43.8,76.2,50.6,Oranye Sedang
Usafa Blue,#004f98,0,79,152,208.8,100.0,29.8,Biru Gelap
Usc Cardinal,#900,153,0,0,0.0,100.0,30.0,Merah Gelap
Usc Gold,#fc0,255,204,0,48.0,100.0,50.0,Oranye Muda
Utah Crimson,#d3003f,211,0,63,342.1,100.0,41.4,Merah Sedang
Vanilla,#f3e5ab,243,229,171,48.3,75.0,81.2,Oranye Terang
Vegas Gold,#c5b358,197,179,88,50.1,48.4,55.9,Oranye Muda
Venetian Red,#c80815,200,8,21,355.9,92.3,40.8,Merah Gelap
Verdigris,#43b3ae,67,179,174,177.3,45.5,48.2,Cyan Sedang
Vermilion (Cinnabar),#e34234,227,66,52,4.8,75.8,54.7,Merah Sedang
Vermilion (Plochere),#d9603b,217,96,59,14.1,67.5,54.1,Merah Sedang
Veronica,#a020f0,160,32,240,276.9,87.4,53.3,Ungu Sedang
Violet,#8f00ff,143,0,255,273.6,100.0,50.0,Ungu Sedang
Violet-Blue,#324ab2,50,74,178,228.8,56.1,44.7,Biru Sedang
Violet (Color Wheel),#7f00ff,127,0,255,269.9,100.0,50.0,Ungu Sedang
Violet (Ryb),#8601af,134,1,175,285.9,98.9,34.5,Ungu Sedang
Violet (Web),#ee82ee,238,130,238,300.0,76.1,72.2,Magenta Terang
Viridian,#40826d,64,130,109,160.9,34.0,38.0,Cyan Sedang
Vivid Auburn,#922724,146,39,36,1.6,60.4,35.7,Merah Gelap
Vivid Burgundy,#9f1d35,159,29,53,348.9,69.1,36.9,Merah Sedang
Vivid Cerise,#da1d81,218,29,129,328.3,76.5,48.4,Magenta Sedang
Vivid Tangerine,#ffa089,255,160,137,11.7,100.0,76.9,Merah Muda
Vivid Violet,#9f00ff,159,0,255,277.4,100.0,50.0,Ungu Sedang
Warm Black,#004242,0,66,66,180.0,100.0,12.9,Hijau Gelap
Waterspout,#a4f4f9,164,244,249,183.5,87.6,81.0,Cyan Terang
Wenge,#645452,100,84,82,6.7,9.9,35.7,Abu-Abu
Wheat,#f5deb3,245,222,179,39.1,76.7,83.1,Oranye Terang
White,#fff,255,255,255,0.0,0.0,100.0,Putih
White Smoke,#f5f5f5,245,245,245,0.0,0.0,96.1,Putih
Wild Blue Yonder,#a2add0,162,173,208,225.7,32.9,72.5,Cyan Muda
Wild Strawberry,#ff43a4,255,67,164,329.0,100.0,63.1,Magenta Muda
Wild Watermelon,#fc6c85,252,108,133,349.6,96.0,70.6,Magenta Muda
Wine,#722f37,114,47,55,352.8,41.6,31.6,Merah Gelap
Wine Dregs,#673147,103,49,71,335.6,35.5,29.8,Merah Gelap
Wisteria,#c9a0dc,201,160,220,281.0,46.2,74.5,Ungu Muda
Wood Brown,#c19a6b,193,154,107,32.8,41.0,58.8,Oranye Muda
Xanadu,#738678,115,134,120,135.8,7.6,48.8,Abu-Abu
Yale Blue,#0f4d92,15,77,146,211.6,81.4,31.6,Biru Gelap
Yellow,#ff0,255,255,0,60.0,100.0,50.0,Oranye Muda
Yellow-Green,#9acd32,154,205,50,79.7,60.8,50.0,Kuning Sedang
Yellow (Munsell),#efcc00,239,204,0,51.2,100.0,46.9,Oranye Sedang
Yellow (Ncs),#ffd300,255,211,0,49.6,100.0,50.0,Oranye Muda
Yellow Orange,#ffae42,255,174,66,34.3,100.0,62.9,Merah Muda
Yellow (Process),#ffef00,255,239,0,56.2,100.0,50.0,Oranye Muda
Yellow (Ryb),#fefe33,254,254,51,60.0,99.0,59.8,Oranye Muda
Zaffre,#0014a8,0,20,168,232.9,100.0,32.9,Biru Gelap
Zinnwaldite Brown,#2c1608,44,22,8,23.3,69.2,10.2,Hitam
